RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
70,11,340,570.022,0.783,,,,,,,,,,,340,19.618,0.000,,,
70,12,197,342.482,0.776,,,,,,,,,,,197,10.679,0.000,,,
70,13,405,807.739,3.250,,,,,,,,,,,405,22.371,0.000,,,
70,14,505,813.615,0.912,,,,,,,,,,,505,28.274,0.000,,,
70,15,904,1375.598,1.488,,,,,,,,,,,904,48.973,0.000,,,
70,16,475,1122.792,10.459,,,,,,,,,,,475,29.861,0.001,,,
70,17,815,1182.341,2.686,,,,,,,,,,,815,34.388,0.000,,,
70,18,4427,6099.052,10.894,3,22.319,3.858,,,,,18,0.758,0.000,4427,198.201,0.479,,,
70,19,3919,5097.908,9.985,,,,,,,,,,,3919,178.564,0.384,,,
60,0,5938,8259.972,54.447,,,,,,,,,,,5938,245.557,0.011,,,
60,1,1004801,3260974,728970.0,90903,1718753,50676.94,110,926298.7,87727364,,554063,499710.7,1183446,1004801,34764.52,5685.013,,,
60,2,466965,1275054,46983584,2,161.257,3358.638,3,429856.6,49733176530,,4,0.177,0.000,466965,41944.46,2597153,,,
60,3,999984,3260328,443961.1,90078,1717388,260563.5,118,902062.1,47029583,,550718,505545.5,4539872,999984,34181.42,1853.311,,,
60,4,996647,3243984,427307.9,88941,1705204,49497.30,120,875271.6,45000906,,547619,511465.8,1063218,996647,34245.72,2617.460,,,
60,5,1003668,3231671,444308.3,88208,1688400,76818.32,116,906235.5,62106586,,554363,494230.9,637997.1,1003668,34382.19,3905.397,,,
60,6,998848,3271258,1273624,90215,1724806,43881.30,119,875700.3,54068751,,549721,507779.7,951330.1,998848,34640.55,10239.23,,,
60,7,1533,2205.400,2.364,2,20.230,13.530,9360,5294894,10596567,,7,0.264,0.000,1533,68.421,0.000,,,
60,8,6151,8446.996,11.451,,,,,,,,,,,6151,254.460,0.003,,,
60,9,7181,9703.834,3855.448,,,,,,,,,,,7181,299.497,0.759,,,
60,10,5127,6647.199,85.373,,,,,,,,,,,5127,234.946,3.092,,,
60,11,464,763.286,0.858,,,,,,,,,,,464,26.322,0.000,,,
60,12,277,435.510,1.095,,,,,,,,,,,277,14.061,0.000,,,
60,13,321,533.625,0.666,,,,,,,,,,,321,16.512,0.000,,,
60,14,593,858.620,1.098,,,,,,,,,,,593,44.778,0.349,,,
60,15,455,678.740,0.679,,,,,,,,,,,455,22.760,0.000,,,
60,16,556,1302.810,7.211,,,,,,,,,,,556,38.505,0.001,,,
60,17,1309,1778.579,2.458,,,,,,,,,,,1309,58.234,0.000,,,
60,18,6464,9035.995,25.208,5,41.761,2.918,,,,,17,0.678,0.000,6464,274.267,0.004,,,
60,19,6824,9452.546,19.007,9,66.125,4.152,,,,,17,6.152,1.757,6824,313.954,0.984,,,
50,0,6439,8478.598,35.065,,,,,,,,,,,6439,288.179,0.650,,,
50,1,1048998,3515173,1839817,99918,1868222,117579.0,117,998710.6,71641583,,604047,565777.9,2172338,1048998,36052.21,2930.661,,,
50,2,428902,1362969,5262434,,,,1,8886.065,0.000,,,,,428902,42306.12,150678.8,,,
50,3,1049503,3526841,2837336,99455,1882990,51436.26,114,941161.6,69250660,,603730,558763.8,3279920,1049503,37664.91,4365.066,,,
50,4,1048653,3509529,4290280,98945,1876417,104374.0,113,919403.2,71176440,,602011,554255.8,1272720,1048653,37324.15,5311.894,,,
50,5,1048925,3522851,8120077,99538,1878722,64557.81,114,971693.4,77025517,,603741,564240.6,2392750,1048925,35701.36,8774.614,,,
50,6,1049116,3544706,3270422,100319,1896031,316337.0,115,909103.6,71652860,,604248,561096.4,894611.4,1049116,37810.78,6276.513,,,
50,7,1748,2454.829,4.315,,,,13828,5744736,2273799,,,,,1748,83.099,0.000,,,
50,8,6346,9351.629,193.639,,,,,,,,,,,6346,261.797,0.007,,,
50,9,8285,11158.86,18.866,,,,,,,,,,,8285,341.259,0.006,,,
50,10,6539,8878.247,16.379,,,,,,,,,,,6539,271.894,0.003,,,
50,11,763,1201.179,0.620,,,,,,,,,,,763,49.275,0.001,,,
50,12,246,479.760,7.650,3,30.289,6.179,,,,,17,1.135,0.000,246,15.910,0.000,,,
50,13,613,983.899,2.128,1,14.943,0.000,,,,,7,0.464,0.000,613,45.555,0.359,,,
50,14,467,776.680,1.188,,,,,,,,,,,467,25.791,0.000,,,
50,15,693,1060.470,1.168,,,,,,,,,,,693,46.923,0.002,,,
50,16,796,1682.064,5.809,,,,,,,,,,,796,53.970,0.000,,,
50,17,1469,2026.644,1.109,,,,,,,,,,,1469,67.001,0.000,,,
50,18,5955,8619.071,43.770,1,13.039,0.000,,,,,17,5.186,1.154,5955,256.172,0.010,,,
50,19,5245,6905.622,29.422,,,,,,,,,,,5245,223.646,0.005,,,
40,0,6846,9565.573,17.999,,,,,,,,,,,6846,297.493,0.498,,,
40,1,1049135,3604904,2364810,101540,1912628,98797.98,116,998470.4,78907141,,607049,609413.3,1113558,1049135,37025.54,2244.741,,,
40,2,422349,1394477,3024677,3,216.108,1822.288,2,70006.74,1217802647,,6,0.268,0.000,422349,46576.65,191726.0,,,
40,3,1049391,3596374,2211620,100527,1909773,55614.34,113,979931.8,85257016,,608101,609455.1,1808313,1049391,37174.39,1663.711,,,
